station,station_name,lat,lon,day,doy,high,low,precip,snow
IAC007,Iowa - Southwest Climate Division,41.0809480993,-95.1379479497,1/11/00 12:00 AM,11,46,23,0,0
IAC006,Iowa - East Central Climate Division,41.897557125,-91.253429866,1/12/00 12:00 AM,12,30,22,0,0
IAC005,Iowa - Central Climate Division,42.041100506,-93.3352885645,1/12/00 12:00 AM,12,28,19,0,0
IAC007,Iowa - Southwest Climate Division,41.0809480993,-95.1379479497,1/12/00 12:00 AM,12,34,23,0,0
IAC003,Iowa - Northeast Climate Division,42.8585238672,-91.7665112736,1/12/00 12:00 AM,12,26,20,0,0.1
IAC004,Iowa - West Central Climate Division,42.0398027871,-95.2599670554,1/12/00 12:00 AM,12,29,19,0,0
IAC008,Iowa - South Central Climate Division,41.0467323739,-93.4940760185,1/12/00 12:00 AM,12,33,22,0,0
IAC001,Iowa - Northwest Climate Division,43.027020875,-95.4945087229,1/12/00 12:00 AM,12,23,11,0,0
IAC009,Iowa - Southeast Climate Division,41.0387041389,-91.8205634896,1/12/00 12:00 AM,12,34,23,0,0
IAC002,Iowa - North Central Climate Division,43.0498599625,-93.4890263095,1/12/00 12:00 AM,12,22,14,0,0.1
IAC004,Iowa - West Central Climate Division,42.0398027871,-95.2599670554,1/13/00 12:00 AM,13,36,9,0,0
IAC006,Iowa - East Central Climate Division,41.897557125,-91.253429866,1/13/00 12:00 AM,13,34,15,0,0.1
IAC009,Iowa - Southeast Climate Division,41.0387041389,-91.8205634896,1/13/00 12:00 AM,13,37,19,0,0
IAC003,Iowa - Northeast Climate Division,42.8585238672,-91.7665112736,1/13/00 12:00 AM,13,28,8,0.03,0.7
IAC002,Iowa - North Central Climate Division,43.0498599625,-93.4890263095,1/13/00 12:00 AM,13,28,7,0.01,0.3
IAC001,Iowa - Northwest Climate Division,43.027020875,-95.4945087229,1/13/00 12:00 AM,13,29,3,0,0.1
IAC008,Iowa - South Central Climate Division,41.0467323739,-93.4940760185,1/13/00 12:00 AM,13,39,14,0,0
IAC007,Iowa - Southwest Climate Division,41.0809480993,-95.1379479497,1/13/00 12:00 AM,13,43,13,0,0
IAC005,Iowa - Central Climate Division,42.041100506,-93.3352885645,1/13/00 12:00 AM,13,35,10,0,0
IAC005,Iowa - Central Climate Division,42.041100506,-93.3352885645,1/14/00 12:00 AM,14,26,9,0,0
IAC003,Iowa - Northeast Climate Division,42.8585238672,-91.7665112736,1/14/00 12:00 AM,14,23,6,0,0
IAC004,Iowa - West Central Climate Division,42.0398027871,-95.2599670554,1/14/00 12:00 AM,14,29,8,0,0
IAC007,Iowa - Southwest Climate Division,41.0809480993,-95.1379479497,1/14/00 12:00 AM,14,33,11,0,0
IAC001,Iowa - Northwest Climate Division,43.027020875,-95.4945087229,1/14/00 12:00 AM,14,26,4,0,0
IAC009,Iowa - Southeast Climate Division,41.0387041389,-91.8205634896,1/14/00 12:00 AM,14,29,13,0,0
IAC002,Iowa - North Central Climate Division,43.0498599625,-93.4890263095,1/14/00 12:00 AM,14,22,6,0,0
IAC006,Iowa - East Central Climate Division,41.897557125,-91.253429866,1/14/00 12:00 AM,14,28,10,0,0
IAC008,Iowa - South Central Climate Division,41.0467323739,-93.4940760185,1/14/00 12:00 AM,14,30,11,0,0
IAC003,Iowa - Northeast Climate Division,42.8585238672,-91.7665112736,1/15/00 12:00 AM,15,32,14,0,0
IAC008,Iowa - South Central Climate Division,41.0467323739,-93.4940760185,1/15/00 12:00 AM,15,46,19,0,0
IAC002,Iowa - North Central Climate Division,43.0498599625,-93.4890263095,1/15/00 12:00 AM,15,38,17,0,0
IAC007,Iowa - Southwest Climate Division,41.0809480993,-95.1379479497,1/15/00 12:00 AM,15,48,22,0,0
IAC001,Iowa - Northwest Climate Division,43.027020875,-95.4945087229,1/15/00 12:00 AM,15,43,22,0,0
IAC004,Iowa - West Central Climate Division,42.0398027871,-95.2599670554,1/15/00 12:00 AM,15,47,24,0,0
IAC009,Iowa - Southeast Climate Division,41.0387041389,-91.8205634896,1/15/00 12:00 AM,15,39,18,0,0
IAC005,Iowa - Central Climate Division,42.041100506,-93.3352885645,1/15/00 12:00 AM,15,42,19,0,0
IAC006,Iowa - East Central Climate Division,41.897557125,-91.253429866,1/15/00 12:00 AM,15,33,16,0,0
IAC007,Iowa - Southwest Climate Division,41.0809480993,-95.1379479497,1/16/00 12:00 AM,16,54,19,0,0
IAC004,Iowa - West Central Climate Division,42.0398027871,-95.2599670554,1/16/00 12:00 AM,16,52,13,0,0
IAC005,Iowa - Central Climate Division,42.041100506,-93.3352885645,1/16/00 12:00 AM,16,50,14,0,0
IAC006,Iowa - East Central Climate Division,41.897557125,-91.253429866,1/16/00 12:00 AM,16,47,23,0,0
IAC009,Iowa - Southeast Climate Division,41.0387041389,-91.8205634896,1/16/00 12:00 AM,16,51,24,0,0
IAC001,Iowa - Northwest Climate Division,43.027020875,-95.4945087229,1/16/00 12:00 AM,16,45,5,0,0
IAC002,Iowa - North Central Climate Division,43.0498599625,-93.4890263095,1/16/00 12:00 AM,16,45,8,0,0
IAC003,Iowa - Northeast Climate Division,42.8585238672,-91.7665112736,1/16/00 12:00 AM,16,45,16,0,0
IAC008,Iowa - South Central Climate Division,41.0467323739,-93.4940760185,1/16/00 12:00 AM,16,53,19,0,0
IAC007,Iowa - Southwest Climate Division,41.0809480993,-95.1379479497,1/17/00 12:00 AM,17,30,18,0,0
IAC005,Iowa - Central Climate Division,42.041100506,-93.3352885645,1/17/00 12:00 AM,17,27,14,0,0
IAC009,Iowa - Southeast Climate Division,41.0387041389,-91.8205634896,1/17/00 12:00 AM,17,32,22,0,0
IAC006,Iowa - East Central Climate Division,41.897557125,-91.253429866,1/17/00 12:00 AM,17,30,20,0,0
IAC002,Iowa - North Central Climate Division,43.0498599625,-93.4890263095,1/17/00 12:00 AM,17,24,8,0,0
IAC003,Iowa - Northeast Climate Division,42.8585238672,-91.7665112736,1/17/00 12:00 AM,17,26,16,0,0
IAC001,Iowa - Northwest Climate Division,43.027020875,-95.4945087229,1/17/00 12:00 AM,17,24,4,0,0
IAC008,Iowa - South Central Climate Division,41.0467323739,-93.4940760185,1/17/00 12:00 AM,17,29,19,0,0
IAC004,Iowa - West Central Climate Division,42.0398027871,-95.2599670554,1/17/00 12:00 AM,17,27,11,0,0
IAC001,Iowa - Northwest Climate Division,43.027020875,-95.4945087229,1/18/00 12:00 AM,18,31,17,0.01,0
IAC009,Iowa - Southeast Climate Division,41.0387041389,-91.8205634896,1/18/00 12:00 AM,18,28,25,0.02,0
IAC004,Iowa - West Central Climate Division,42.0398027871,-95.2599670554,1/18/00 12:00 AM,18,31,25,0,0
IAC002,Iowa - North Central Climate Division,43.0498599625,-93.4890263095,1/18/00 12:00 AM,18,27,21,0,0
IAC006,Iowa - East Central Climate Division,41.897557125,-91.253429866,1/18/00 12:00 AM,18,26,22,0.01,0
IAC005,Iowa - Central Climate Division,42.041100506,-93.3352885645,1/18/00 12:00 AM,18,28,24,0,0
IAC003,Iowa - Northeast Climate Division,42.8585238672,-91.7665112736,1/18/00 12:00 AM,18,27,21,0,0
IAC008,Iowa - South Central Climate Division,41.0467323739,-93.4940760185,1/18/00 12:00 AM,18,29,26,0,0
IAC007,Iowa - Southwest Climate Division,41.0809480993,-95.1379479497,1/18/00 12:00 AM,18,32,27,0,0
IAC007,Iowa - Southwest Climate Division,41.0809480993,-95.1379479497,1/19/00 12:00 AM,19,48,27,0.05,0.2
IAC002,Iowa - North Central Climate Division,43.0498599625,-93.4890263095,1/19/00 12:00 AM,19,29,15,0.06,0.3
IAC009,Iowa - Southeast Climate Division,41.0387041389,-91.8205634896,1/19/00 12:00 AM,19,41,22,0.02,0.4
IAC005,Iowa - Central Climate Division,42.041100506,-93.3352885645,1/19/00 12:00 AM,19,37,17,0.01,0.3
IAC001,Iowa - Northwest Climate Division,43.027020875,-95.4945087229,1/19/00 12:00 AM,19,36,17,0.14,1.6
IAC004,Iowa - West Central Climate Division,42.0398027871,-95.2599670554,1/19/00 12:00 AM,19,43,23,0.09,0.6
IAC003,Iowa - Northeast Climate Division,42.8585238672,-91.7665112736,1/19/00 12:00 AM,19,32,13,0.06,0.3
IAC006,Iowa - East Central Climate Division,41.897557125,-91.253429866,1/19/00 12:00 AM,19,38,17,0.02,0.5
IAC008,Iowa - South Central Climate Division,41.0467323739,-93.4940760185,1/19/00 12:00 AM,19,45,24,0.01,0.2
IAC003,Iowa - Northeast Climate Division,42.8585238672,-91.7665112736,1/20/00 12:00 AM,20,24,-10,0.28,4.1
IAC002,Iowa - North Central Climate Division,43.0498599625,-93.4890263095,1/20/00 12:00 AM,20,26,-10,0.36,4.5
IAC006,Iowa - East Central Climate Division,41.897557125,-91.253429866,1/20/00 12:00 AM,20,26,-6,0.31,3.5
IAC004,Iowa - West Central Climate Division,42.0398027871,-95.2599670554,1/20/00 12:00 AM,20,36,-1,0.13,1
IAC008,Iowa - South Central Climate Division,41.0467323739,-93.4940760185,1/20/00 12:00 AM,20,36,0,0.1,1.5
IAC009,Iowa - Southeast Climate Division,41.0387041389,-91.8205634896,1/20/00 12:00 AM,20,30,-2,0.24,2.3
IAC005,Iowa - Central Climate Division,42.041100506,-93.3352885645,1/20/00 12:00 AM,20,28,-6,0.33,4
IAC007,Iowa - Southwest Climate Division,41.0809480993,-95.1379479497,1/20/00 12:00 AM,20,43,5,0,0.3
IAC001,Iowa - Northwest Climate Division,43.027020875,-95.4945087229,1/20/00 12:00 AM,20,32,-8,0.22,1.5
IAC006,Iowa - East Central Climate Division,41.897557125,-91.253429866,1/21/00 12:00 AM,21,9,-8,0,0
IAC005,Iowa - Central Climate Division,42.041100506,-93.3352885645,1/21/00 12:00 AM,21,15,-6,0.01,0
IAC003,Iowa - Northeast Climate Division,42.8585238672,-91.7665112736,1/21/00 12:00 AM,21,7,-13,0,0
IAC001,Iowa - Northwest Climate Division,43.027020875,-95.4945087229,1/21/00 12:00 AM,21,18,-8,0,0
IAC004,Iowa - West Central Climate Division,42.0398027871,-95.2599670554,1/21/00 12:00 AM,21,23,0,0,0
IAC009,Iowa - Southeast Climate Division,41.0387041389,-91.8205634896,1/21/00 12:00 AM,21,15,-1,0,0
IAC002,Iowa - North Central Climate Division,43.0498599625,-93.4890263095,1/21/00 12:00 AM,21,11,-11,0,0.1
IAC008,Iowa - South Central Climate Division,41.0467323739,-93.4940760185,1/21/00 12:00 AM,21,22,2,0,0
IAC007,Iowa - Southwest Climate Division,41.0809480993,-95.1379479497,1/21/00 12:00 AM,21,29,5,0,0
IAC005,Iowa - Central Climate Division,42.041100506,-93.3352885645,1/22/00 12:00 AM,22,17,-3,0.06,0.8
IAC009,Iowa - Southeast Climate Division,41.0387041389,-91.8205634896,1/22/00 12:00 AM,22,22,5,0.13,0.8
IAC004,Iowa - West Central Climate Division,42.0398027871,-95.2599670554,1/22/00 12:00 AM,22,25,2,0,0.1
IAC008,Iowa - South Central Climate Division,41.0467323739,-93.4940760185,1/22/00 12:00 AM,22,29,7,0.04,0.5
IAC002,Iowa - North Central Climate Division,43.0498599625,-93.4890263095,1/22/00 12:00 AM,22,13,-11,0.04,0.6
IAC003,Iowa - Northeast Climate Division,42.8585238672,-91.7665112736,1/22/00 12:00 AM,22,13,-12,0.14,1.1
IAC001,Iowa - Northwest Climate Division,43.027020875,-95.4945087229,1/22/00 12:00 AM,22,17,-7,0.01,0
IAC006,Iowa - East Central Climate Division,41.897557125,-91.253429866,1/22/00 12:00 AM,22,13,-4,0.08,1.1
IAC007,Iowa - Southwest Climate Division,41.0809480993,-95.1379479497,1/22/00 12:00 AM,22,37,10,0,0.1
IAC008,Iowa - South Central Climate Division,41.0467323739,-93.4940760185,1/23/00 12:00 AM,23,44,17,0,0
IAC006,Iowa - East Central Climate Division,41.897557125,-91.253429866,1/23/00 12:00 AM,23,25,7,0.01,0
IAC005,Iowa - Central Climate Division,42.041100506,-93.3352885645,1/23/00 12:00 AM,23,31,7,0,0
IAC004,Iowa - West Central Climate Division,42.0398027871,-95.2599670554,1/23/00 12:00 AM,23,34,10,0,0
IAC003,Iowa - Northeast Climate Division,42.8585238672,-91.7665112736,1/23/00 12:00 AM,23,23,3,0,0
IAC002,Iowa - North Central Climate Division,43.0498599625,-93.4890263095,1/23/00 12:00 AM,23,25,2,0,0
IAC009,Iowa - Southeast Climate Division,41.0387041389,-91.8205634896,1/23/00 12:00 AM,23,34,14,0.02,0
IAC007,Iowa - Southwest Climate Division,41.0809480993,-95.1379479497,1/23/00 12:00 AM,23,46,18,0,0
IAC001,Iowa - Northwest Climate Division,43.027020875,-95.4945087229,1/23/00 12:00 AM,23,26,4,0,0
IAC006,Iowa - East Central Climate Division,41.897557125,-91.253429866,1/24/00 12:00 AM,24,13,-9,0,0
IAC003,Iowa - Northeast Climate Division,42.8585238672,-91.7665112736,1/24/00 12:00 AM,24,9,-11,0,0
IAC007,Iowa - Southwest Climate Division,41.0809480993,-95.1379479497,1/24/00 12:00 AM,24,27,8,0,0
IAC002,Iowa - North Central Climate Division,43.0498599625,-93.4890263095,1/24/00 12:00 AM,24,11,-7,0,0
IAC004,Iowa - West Central Climate Division,42.0398027871,-95.2599670554,1/24/00 12:00 AM,24,21,3,0,0
IAC005,Iowa - Central Climate Division,42.041100506,-93.3352885645,1/24/00 12:00 AM,24,16,-5,0,0
IAC001,Iowa - Northwest Climate Division,43.027020875,-95.4945087229,1/24/00 12:00 AM,24,16,-3,0,0
IAC008,Iowa - South Central Climate Division,41.0467323739,-93.4940760185,1/24/00 12:00 AM,24,22,3,0,0
IAC009,Iowa - Southeast Climate Division,41.0387041389,-91.8205634896,1/24/00 12:00 AM,24,18,-2,0,0
IAC004,Iowa - West Central Climate Division,42.0398027871,-95.2599670554,1/25/00 12:00 AM,25,36,8,0,0
IAC001,Iowa - Northwest Climate Division,43.027020875,-95.4945087229,1/25/00 12:00 AM,25,26,5,0,0
IAC006,Iowa - East Central Climate Division,41.897557125,-91.253429866,1/25/00 12:00 AM,25,24,-9,0,0
IAC002,Iowa - North Central Climate Division,43.0498599625,-93.4890263095,1/25/00 12:00 AM,25,26,0,0,0
IAC003,Iowa - Northeast Climate Division,42.8585238672,-91.7665112736,1/25/00 12:00 AM,25,23,-8,0,0
IAC005,Iowa - Central Climate Division,42.041100506,-93.3352885645,1/25/00 12:00 AM,25,35,0,0,0
IAC008,Iowa - South Central Climate Division,41.0467323739,-93.4940760185,1/25/00 12:00 AM,25,39,7,0,0
IAC009,Iowa - Southeast Climate Division,41.0387041389,-91.8205634896,1/25/00 12:00 AM,25,34,-1,0,0
IAC007,Iowa - Southwest Climate Division,41.0809480993,-95.1379479497,1/25/00 12:00 AM,25,40,11,0,0
IAC004,Iowa - West Central Climate Division,42.0398027871,-95.2599670554,1/26/00 12:00 AM,26,26,-2,0,0
IAC008,Iowa - South Central Climate Division,41.0467323739,-93.4940760185,1/26/00 12:00 AM,26,27,1,0,0
IAC003,Iowa - Northeast Climate Division,42.8585238672,-91.7665112736,1/26/00 12:00 AM,26,21,-8,0,0
IAC009,Iowa - Southeast Climate Division,41.0387041389,-91.8205634896,1/26/00 12:00 AM,26,25,1,0,0
IAC006,Iowa - East Central Climate Division,41.897557125,-91.253429866,1/26/00 12:00 AM,26,22,-3,0,0
IAC001,Iowa - Northwest Climate Division,43.027020875,-95.4945087229,1/26/00 12:00 AM,26,23,-8,0,0
IAC007,Iowa - Southwest Climate Division,41.0809480993,-95.1379479497,1/26/00 12:00 AM,26,29,2,0,0
IAC005,Iowa - Central Climate Division,42.041100506,-93.3352885645,1/26/00 12:00 AM,26,25,-5,0,0
IAC002,Iowa - North Central Climate Division,43.0498599625,-93.4890263095,1/26/00 12:00 AM,26,22,-7,0,0
IAC005,Iowa - Central Climate Division,42.041100506,-93.3352885645,1/27/00 12:00 AM,27,17,-5,0,0
IAC008,Iowa - South Central Climate Division,41.0467323739,-93.4940760185,1/27/00 12:00 AM,27,23,0,0,0
IAC009,Iowa - Southeast Climate Division,41.0387041389,-91.8205634896,1/27/00 12:00 AM,27,18,-3,0,0
IAC007,Iowa - Southwest Climate Division,41.0809480993,-95.1379479497,1/27/00 12:00 AM,27,27,2,0,0
IAC001,Iowa - Northwest Climate Division,43.027020875,-95.4945087229,1/27/00 12:00 AM,27,16,-8,0,0
IAC006,Iowa - East Central Climate Division,41.897557125,-91.253429866,1/27/00 12:00 AM,27,16,-7,0,0
