Merge Pair,uid_a,uid_b,decision,decided_by,note,name_a,name_b,proposed,sep_m,on_channel,shared_days,r,channels_a,channels_b
24,IWQIS:WQS0039,USGS:05480820,merge,isaac,,Boone River at Goldfield (39BRG),"Boone River near Goldfield, IA",complementary,46.12,,,,nitrate+water_temp+turbidity_unknown,discharge+gage_height
25,IWQIS:WQS0042,USGS:06607200,merge,isaac,,Maple River at Mapleton (42MRM),"Maple River at Mapleton, IA",complementary,46.43,,,,nitrate+water_temp+turbidity_unknown,discharge
26,IWQIS:WQS0063,USGS:05389000,merge,isaac,,Yellow River at Ion (63YRI),"Yellow River near Ion, IA",complementary,47.88,,,,nitrate+water_temp+spec_cond+turbidity_unknown,discharge
27,IWQIS:WQS9904,USGS:05455500,distinct,isaac,,WQS9904,"English River at Kalona, IA",complementary,49.63,,,,nitrate+water_temp,discharge
28,IWQIS:WQS0036,USGS:06898000,merge,isaac,,Thompson River at Davis City (36TRDC),"Thompson River at Davis City, IA",complementary,51.92,,,,nitrate+water_temp+turbidity_unknown,discharge+gage_height
29,IWQIS:WQS0111,USGS:05389400,merge,isaac,,Bloody Run Creek at Marquette (111BRCM),"Bloody Run Creek near Marquette, IA",complementary,55.75,,,,nitrate+water_temp+spec_cond+diss_oxy+ph+fchl,discharge
30,IWQIS:WQS0067,USGS:06483500,merge,isaac,,Rock River at Rock Valley (67RRRV),"Rock River near Rock Valley, IA",complementary,61.8,,,,nitrate+water_temp+spec_cond+turbidity_unknown,discharge
31,IWQIS:WQS0061,USGS:06608500,merge,isaac,,Soldier River at Pisgah (61SRP),"Soldier River at Pisgah, IA",complementary,62.55,,,,nitrate+water_temp+spec_cond+turbidity_unknown,discharge
32,IWQIS:WQS0126,USGS:05420680,merge,isaac,,Wapsipinicon River at Tripoli (WQS 126WRT),"Wapsipinicon River near Tripoli, IA",complementary,66.78,,,,nitrate,discharge
33,IWQIS:WQS0007,USGS:05465000,merge,isaac,,Cedar River at Conesville (7CRC),"Cedar River near Conesville, IA",complementary,68.14,,,,nitrate+water_temp+spec_cond+turbidity_unknown+diss_oxy+ph+fchl,discharge
34,MPCA:33091003,USGS:05327000,merge,isaac,,"High Island Creek nr Henderson, CSAH6","HIGH ISLAND CREEK NEAR HENDERSON, MN",complementary,72.05,,,,nitrate,discharge
35,MPCA:15031001,USGS:05268700,merge,isaac,,"Little Rock Creek nr Rice, CSAH12","LITTLE ROCK CREEK AT RICE, MN",complementary,78.01,gage_height,186.0,0.9426,nitrate+discharge+gage_height+water_temp+spec_cond+diss_oxy+ph,gage_height+water_temp
36,IWQIS:WQS9903,USGS:05465000,distinct,isaac,,WQS9903,"Cedar River near Conesville, IA",complementary,80.52,,,,nitrate+water_temp+spec_cond+turbidity_unknown+diss_oxy+ph,discharge
37,IWQIS:WQS0043,USGS:06600500,merge,isaac,,Floyd River at James (43FRJ),"Floyd River at James, IA",complementary,85.22,,,,nitrate+water_temp+spec_cond+turbidity_unknown,discharge+gage_height
38,IWQIS:WQS0041,USGS:06607500,merge,isaac,,Little Sioux River at Turin (41LSRT),"Little Sioux River near Turin, IA",complementary,86.8,,,,nitrate,discharge
39,IWQIS:WQS0120,USGS:06809210,merge,isaac,,East Nishnabotna at Atlantic (WQS 120 ENRA),"East Nishnabotna River near Atlantic, IA",complementary,94.57,,,,nitrate,discharge
40,USGS:01646500,USGS:01646502,merge,isaac,,"POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA","POTOMAC RIVER, ADJUSTED, NEAR WASH, DC",dual_registration,0.0,discharge,6510.0,1.0,nitrate+discharge+gage_height+water_temp+spec_cond+turbidity_fnu+diss_oxy+ph,discharge
41,IWQIS:WQS0082,USGS:05482500,distinct,isaac,"IWQIS site has 22 days all exist in the USGS record, it will be caught and discarded by the filter",North Raccoon River at Jefferson (82NRRJ),"North Raccoon River near Jefferson, IA",dual_registration,8.12,nitrate,22.0,0.8871,nitrate+water_temp+turbidity_unknown,nitrate+discharge+gage_height+water_temp
42,MPCA:39101001,USGS:05353800,merge,isaac,,"Straight River nr Faribault, MN","STRAIGHT RIVER NEAR FARIBAULT, MN",dual_registration,24.5,discharge,6697.0,0.9306,nitrate+discharge+gage_height,discharge
43,MPCA:39004002,USGS:05355200,merge,isaac,,"Cannon River at Welch, MN","CANNON RIVER AT WELCH, MN",dual_registration,30.32,discharge,6799.0,0.9511,nitrate+discharge+gage_height,discharge
44,MPCA:48020005,USGS:05457000,merge,isaac,same exact site,"Cedar River nr Austin, 540th Ave","CEDAR RIVER NEAR AUSTIN, MN",dual_registration,44.38,nitrate,592.0,0.9995,nitrate+water_temp+turbidity_unknown,nitrate+discharge+gage_height+turbidity_fnu
45,MPCA:40006001,USGS:05378500,merge,isaac,,"Mississippi River at Winona, MN","MISSISSIPPI RIVER AT WINONA, MN",dual_registration,123.36,discharge,5584.0,1.0,nitrate+discharge+gage_height,discharge+gage_height
46,MPCA:29001001,USGS:05317000,merge,isaac,,"Cottonwood River nr New Ulm, MN68","COTTONWOOD RIVER NEAR NEW ULM, MN",dual_registration,249.64,discharge,744.0,0.9997,nitrate+discharge+gage_height,discharge+gage_height
,IWQIS:WQS0105,IWQIS:WQS0106,distinct,isaac,,Benton County DOT Ditch 1 (105BCD1),Benton County DOT Ditch 2 (106BCD2),weak_evidence,197.54,water_temp,698.0,0.9126,water_temp+turbidity_unknown,water_temp+turbidity_unknown
,IWQIS:WQS0089,USGS:06817000,merge,isaac,,Nodaway River at Clarinda (89NRC),"Nodaway River at Clarinda, IA",weak_evidence,441.5,water_temp,53.0,0.9223,water_temp+turbidity_unknown,nitrate+discharge+gage_height+water_temp
,IWQIS:WQS0092,USGS:05482000,merge,isaac,,Des Moines River at Des Moines (92DMRDM),"Des Moines River at 2nd Avenue at Des Moines, IA",weak_evidence,1878.12,water_temp,494.0,0.9936,water_temp+turbidity_unknown,nitrate+discharge+gage_height+water_temp
,USGS:03353415,USGS:03353420,merge,isaac,same exact site,"SCHOOL BRANCH AT MALONEY ROAD NEAR BROWNSBURG, IN","SCHOOL BRANCH AT CR750N AT BROWNSBURG, IN",dual_registration,1565.82,nitrate,2830.0,0.9371,nitrate+discharge+gage_height+water_temp+spec_cond+turbidity_fnu+diss_oxy+ph+orthophosphate,nitrate+discharge+gage_height+water_temp+spec_cond+turbidity_fnu+diss_oxy+ph+orthophosphate
,USGS:07144100,USGS:375350097262800,distinct,isaac,"genuinely different, one downstream of the other.","L ARKANSAS R NR SEDGWICK, KS","L ARKANSAS R UPSTREAM OF ASR FAC NR SEDGWICK, KS",dual_registration,2141.18,nitrate,3344.0,0.902,nitrate+discharge+gage_height+water_temp+spec_cond+turbidity_fnu+diss_oxy+ph+fdom,nitrate+gage_height+water_temp+spec_cond+turbidity_fnu+diss_oxy+ph+fdom
,USGS:412354086421005,USGS:412354086421006,distinct,isaac,"is a well pair, doesn't matter anyways","KANKAKEE WELL FIELD SH-3 NEAR HANNA, IN","KANKAKEE WELL FIELD WT-3 NEAR HANNA, IN",distinct,0.0,nitrate,739.0,-0.3923,nitrate,nitrate
,USGS:443320089212303,USGS:443320089212304,distinct,isaac,"another well pair, one has zero one has high nitrate",PT-24/09E/13-1447,PT-24/09E/13-1573,distinct,0.95,nitrate,980.0,0.1504,nitrate+water_temp+spec_cond+diss_oxy+ph,nitrate+water_temp+spec_cond+diss_oxy+ph
,USGS:401934089541701,USGS:401934089541702,distinct,isaac,well pair,22N7W-29.1d1 (DP-1),22N7W-29.1d2 (SH-1),distinct,3.11,nitrate,1031.0,-0.0203,nitrate,nitrate
,IWQIS:WQS0005,IWQIS:WQS9904,distinct,isaac,"one of these is a WQS99*, will be tossed, 4 site days",English River at Kalona (5ENGK),WQS9904,distinct,11.19,nitrate,4.0,,nitrate+water_temp+spec_cond+turbidity_unknown+diss_oxy+ph+orthophosphate,nitrate+water_temp
,IWQIS:WQS0083,IWQIS:WQS0085,distinct,isaac,one of these has 2 site days,Shell Rock River at Shell Rock (83 SRRSR),WQS0085,distinct,13.83,nitrate,1.0,,nitrate+water_temp+turbidity_unknown,nitrate+water_temp+turbidity_unknown
,IWQIS:WQS0007,IWQIS:WQS9903,distinct,isaac,another 2 site days site,Cedar River at Conesville (7CRC),WQS9903,distinct,20.01,nitrate,13.0,0.1563,nitrate+water_temp+spec_cond+turbidity_unknown+diss_oxy+ph+fchl,nitrate+water_temp+spec_cond+turbidity_unknown+diss_oxy+ph
,IWQIS:WQS0031,IWQIS:WQS9931,distinct,isaac,,Groundwater / Spring at Elkader (31gwBSFH),Groundwater / Spring at Elkader (99qwBSFH),distinct,41.43,nitrate,3.0,,nitrate+water_temp+spec_cond+turbidity_unknown+diss_oxy+ph+fchl+orthophosphate,nitrate+orthophosphate
,IWQIS:WQS0028,IWQIS:WQS0029,distinct,isaac,,Des Moines River at Boone (28DMRB),Water supply well at Boone (29gwDMRB),distinct,259.89,nitrate,75.0,0.344,nitrate+water_temp+spec_cond+diss_oxy+ph+fchl,nitrate
,USGS:03340870,USGS:03340900,distinct,isaac,,"CECIL M. HARDEN LAKE AT FERNDALE, IN","BIG RACCOON CREEK AT FERNDALE, IN",distinct,719.15,nitrate,202.0,0.9573,nitrate+water_temp+spec_cond+turbidity_fnu+diss_oxy+ph+fchl+fpc,nitrate+discharge+gage_height+water_temp+spec_cond+turbidity_fnu+diss_oxy+ph+fchl+fpc
,IWQIS:WQS0101,IWQIS:WQS0112,distinct,isaac,"actual separation, same timeseries shape but B lower than A",Mud Creek at Benton County (101MCBC1),Mud Creek Wetland Outlet at Keystone (112 MCWO),distinct,817.53,nitrate,398.0,0.5708,nitrate,nitrate
,USGS:401913089534501,USGS:401934089541702,distinct,isaac,I think a water treatment pair,22N7W-28.5a (IL Tree Nursery),22N7W-29.1d2 (SH-1),distinct,1000.45,nitrate,1013.0,-0.027,nitrate+water_temp+spec_cond+turbidity_fnu+diss_oxy+ph,nitrate
,USGS:401913089534501,USGS:401934089541701,distinct,isaac,pretty sure one is a well,22N7W-28.5a (IL Tree Nursery),22N7W-29.1d1 (DP-1),distinct,1002.47,nitrate,1240.0,-0.3113,nitrate+water_temp+spec_cond+turbidity_fnu+diss_oxy+ph,nitrate
,USGS:05515500,USGS:412354086421005,distinct,isaac,stream/well pair,"KANKAKEE RIVER AT DAVIS, IN","KANKAKEE WELL FIELD SH-3 NEAR HANNA, IN",distinct,1013.02,nitrate,1027.0,0.0872,nitrate+discharge+gage_height+water_temp+spec_cond+turbidity_fnu+diss_oxy+ph+fchl+fpc,nitrate
,USGS:05515500,USGS:412354086421006,distinct,isaac,"stream/well pair, same COMID as 16","KANKAKEE RIVER AT DAVIS, IN","KANKAKEE WELL FIELD WT-3 NEAR HANNA, IN",distinct,1013.02,nitrate,806.0,0.0741,nitrate+discharge+gage_height+water_temp+spec_cond+turbidity_fnu+diss_oxy+ph+fchl+fpc,nitrate
,USGS:05579620,USGS:05579624,distinct,isaac,actual separation,"KICKAPOO CREEK TRIBUTARY NEAR BLOOMINGTON, IL","KICKAPOO CR TRIB NR LONGFIELD RD NR BLOOMINGTON,IL",distinct,1131.43,nitrate,237.0,0.9932,nitrate+discharge+gage_height+water_temp+spec_cond,nitrate+water_temp+spec_cond
,IWQIS:WQS0008,IWQIS:WQS0012,distinct,isaac,actual separation,Slough Creek at Orchard,Slough Creek at Orchard,distinct,1512.74,,1510,0.1647,,
