Row,members,decision,decided_by,note,n_members,canonical_uid,rule,comid,nitrate_days_by_member,channels,station_names
50,USGS:300127090045800+USGS:300128090045800,,,,2,USGS:300127090045800,dual_registration,18910456,USGS:300127090045800:0; USGS:300128090045800:0,diss_oxy+gage_height+spec_cond+water_temp,Bayou Saint John inside gate at Ne | Bayou Saint John outside gate at N
51,USGS:300602090375100+USGS:300740090382500,,,,2,USGS:300602090375100,sequential,15207137,USGS:300602090375100:0; USGS:300740090382500:0,diss_oxy+gage_height+ph+spec_cond+water_temp,"CRMS5373-H01-RT | Maurepas Swamp nr Hope Canal, N of"
52,USGS:391040084343800+USGS:391043084343500+USGS:391059084345500,,,,3,USGS:391040084343800,distinct+sequential,3405159,USGS:391040084343800:0; USGS:391043084343500:0; USGS:391059084345500:0,discharge,M Branch Shepherd Creek at RM 0.04 | M Branch Shepherd Creek at RM 0.15 | W Branch Shepherd Creek at RM 0.40
53,USGS:391435106230801+USGS:391504106225200,,,,2,USGS:391435106230801,sequential,916807,USGS:391435106230801:0; USGS:391504106225200:0,discharge,SIWATCH MINE DRAINAGE TUNNEL BLW T | DINERO MINE DRAINAGE TUNNEL BLW TU
54,USGS:393810105453901+USGS:393812105453801+USGS:393812105453803+USGS:393827105451601+USGS:393947105442501,,,,5,USGS:393827105451601,distinct,2885578,USGS:393810105453901:0; USGS:393812105453801:0; USGS:393812105453803:0; USGS:393827105451601:0; USGS:393947105442501:0,diss_oxy+ph+spec_cond+water_temp,LC-1137-S T2 LEAVENWORTH CK 1137M  | LC-1203-L LEAV CK LFT BK INF 1203M | LEAVENWORTH CR DIEL SAMPLING SITE  | LC-2023-S T3 LEAVENWORTH CK 2023M  | LEAVENWORTH CR DIEL SAMPLING SITE 
55,USGS:404149073051301+USGS:404211073061701+USGS:404213073070801+USGS:404253073065101,,,,4,USGS:404213073070801,sequential,9500256,USGS:404149073051301:0; USGS:404211073061701:0; USGS:404213073070801:0; USGS:404253073065101:0,diss_oxy+water_temp,GREAT SOUTH BAY 2 of 3 NEAR WEST S | Great South Bay 13 near Connetquot | Great South Bay 14 near Connetquot | Great South Bay 11 near Connetquot
56,USGS:404153073030701+USGS:404226073034201,,,,2,USGS:404226073034201,sequential,9499872,USGS:404153073030701:0; USGS:404226073034201:0,diss_oxy+water_temp,GREAT SOUTH BAY 3 of 3 NEAR SAYVIL | Great South Bay 6 near Browns Rive
57,USGS:404320073072601+USGS:404327073072701,,,,2,USGS:404320073072601,sequential,9499896,USGS:404320073072601:0; USGS:404327073072701:0,diss_oxy+water_temp,Great South Bay 10 near Connetquot | GREAT SOUTH BAY 1 of 3 NEAR GREAT 
58,USGS:411228084541701+USGS:411229084541101,,,,2,USGS:411229084541101,distinct+dual_registration,15667131,USGS:411228084541701:0; USGS:411229084541101:0,discharge,OVERLAND FLOW WEST OF BULL RAPIDS  | OVERLAND FLOW EAST OF BULL RAPIDS 
59,USGS:411607084241200+USGS:411610084240800,,,,2,USGS:411607084241200,distinct+dual_registration,15649067,USGS:411607084241200:0; USGS:411610084240800:0,discharge,Inflow to wetland nr Winn Rd nr De | Wetland outflow near Winn Rd near 
60,USGS:421650071120401+USGS:421652071120601,,,,2,USGS:421652071120601,dual_registration,5867775,USGS:421650071120401:0; USGS:421652071120601:0,discharge+spec_cond+water_temp,MA-HWY-I95S-HMA-STATION 00567 NEED | MA-HWY-I95S-OGFC-STATION 00568 NEE
61,USGS:424129077495501+USGS:424131077495801,,,,2,USGS:424129077495501,distinct+dual_registration,15547349,USGS:424129077495501:0; USGS:424131077495801:0,discharge,"NY-SW4 ALFRED FARMS EDGE OF FIELD, | NY-SW3 ALFRED FARMS EDGE OF FIELD,"
62,USGS:424242090230701+USGS:424245090231000,,,,2,USGS:424245090231000,distinct,13356888,USGS:424242090230701:0; USGS:424245090231000:0,discharge,U.W. PLATTEVILLE FARMS SITE 07 NR  | U.W. PLATTEVILLE FARMS SITE 08 NR 
63,USGS:424314090240601+USGS:424317090241401,,,,2,USGS:424314090240601,dual_registration,13356860,USGS:424314090240601:0; USGS:424317090241401:0,discharge,U.W. PLATTEVILLE FARMS SITE 02 NR  | U.W. PLATTEVILLE FARMS SITE 2B NEA
64,USGS:424421077495301+USGS:424428077495401,,,,2,USGS:424421077495301,dual_registration,15547241,USGS:424421077495301:0; USGS:424428077495401:0,discharge,NY-SW1 MERRIMAC FARMS EDGE OF FIEL | NY-SW2 MERRIMAC FARMS EDGE OF FIEL
65,USGS:430338089295701+USGS:430402089282000,,,,2,USGS:430338089295701,sequential,13424845,USGS:430338089295701:0; USGS:430402089282000:0,discharge,DETENTION POND OUTLET AT MEMORIAL  | SOUTH KENOSHA DRIVE STORM SEWER AT
66,USGS:434244090470801+USGS:434246090465801,,,,2,USGS:434244090470801,dual_registration,13624183,USGS:434244090470801:0; USGS:434246090465801:0,discharge,DISCOVERY FARMS-JERSEY WATERWAY 2  | DISCOVERY FARMS-JERSEY WATERWAY 3 
67,USGS:442114088085701+USGS:442119088085501,,,,2,USGS:442114088085701,dual_registration,12007781,USGS:442114088085701:0; USGS:442119088085501:0,discharge,GLRI WATERWAY NUMBER 5 NR WRIGHTST | GLRI WATERWAY NUMBER 4 NR WRIGHTST
68,USGS:450615091444001+USGS:450618091444001,,,,2,USGS:450618091444001,dual_registration,13083379,USGS:450615091444001:0; USGS:450618091444001:0,discharge,DISCOVERY FARMS-RED CEDAR WATERWAY | DISCOVERY FARMS-RED CEDAR WATERWAY
69,USGS:450654091441501+USGS:450659091441401,,,,2,USGS:450654091441501,dual_registration,13082869,USGS:450654091441501:0; USGS:450659091441401:0,discharge,DISCOVERY FARMS-RED CEDAR WATERWAY | DISCOVERY FARMS-RED CEDAR WATERWAY
70,USGS:461656096430500+USGS:461744096440200,,,,2,USGS:461744096440200,sequential,6676176,USGS:461656096430500:0; USGS:461744096440200:0,gage_height,"ANTELOPE CREEK TRIBUTARY NEAR DWIG | ANTELOPE CR TRIB NR DWIGHT, ND ALT"
71,IWQIS:WQP0011+USGS:05455100,confirm,,,2,USGS:05455100,sequential,11915787,IWQIS:WQP0011:272; USGS:05455100:747,discharge+gage_height+nitrate+water_temp,"Old Mans Creek at Iowa City (WQP11 | Old Mans Creek near Iowa City, IA"
72,IWQIS:WQP0014+IWQIS:WQP0015,confirm,,,2,IWQIS:WQP0014,distinct,14796931,IWQIS:WQP0014:340; IWQIS:WQP0015:0,nitrate+turbidity_unknown+water_temp,In-Field Research Project at Walco | In-Field Research Project at Walco
73,IWQIS:WQS0024+USGS:05451210,confirm,,,2,IWQIS:WQS0024,sequential,6572160,IWQIS:WQS0024:2666; USGS:05451210:364,discharge+diss_oxy+fchl+fdom+gage_height+nitrate+ph+spec_cond+turbidity_fnu+turbidity_ntu+turbidity_unknown+water_temp,South Fork Iowa River at New Provi | South Fork Iowa River NE of New Pr
74,IWQIS:WQS0032+USGS:05483600,confirm,,,2,IWQIS:WQS0032,sequential,6621656,IWQIS:WQS0032:2600; USGS:05483600:1485,discharge+diss_oxy+gage_height+nitrate+ph+spec_cond+turbidity_unknown+water_temp,"Middle Raccoon River at Panora (32 | Middle Raccoon River at Panora, IA"
75,IWQIS:WQS0081+USGS:05481000,confirm,,,2,IWQIS:WQS0081,sequential,6603910,IWQIS:WQS0081:1559; USGS:05481000:1249,discharge+gage_height+nitrate+turbidity_unknown+water_temp,"Boone River at Webster City (81BRW | Boone River near Webster City, IA"
76,IWQIS:WQS0087+USGS:05465500,confirm,,,2,USGS:05465500,complementary,11919825,IWQIS:WQS0087:0; USGS:05465500:3441,discharge+gage_height+nitrate+turbidity_fnu+turbidity_unknown+water_temp,"Iowa River at Wapello (87IRW) | Iowa River at Wapello, IA"
77,IWQIS:WQS0089+USGS:06817000,confirm,,,2,USGS:06817000,weak_evidence,19129083,IWQIS:WQS0089:0; USGS:06817000:3271,discharge+gage_height+nitrate+turbidity_unknown+water_temp,"Nodaway River at Clarinda (89NRC) | Nodaway River at Clarinda, IA"
78,MPCA:48020005+USGS:05457000,confirm,,,2,MPCA:48020005,dual_registration,7014505,MPCA:48020005:1983; USGS:05457000:592,discharge+gage_height+nitrate+turbidity_fnu+turbidity_unknown+water_temp,"Cedar River nr Austin, 540th Ave | CEDAR RIVER NEAR AUSTIN, MN"
,IWQIS:WQS0092+USGS:05482000,confirm,,,2,USGS:05482000,weak_evidence,6597748,IWQIS:WQS0092:0; USGS:05482000:701,discharge+gage_height+nitrate+turbidity_unknown+water_temp,Des Moines River at Des Moines (92 | Des Moines River at 2nd Avenue at 
