Row,members,decision,decided_by,note,site_id,station_name,auto_method,selection_mode,flagged,basin_km2,basin0_km2,basin1_km2,basin2_km2,basin3_km2,vaa_totda_km2,dist_to_basin_km,n_corroborations,corroborated_by,flag_area_vs_vaa,flag_basin0_disagrees,flag_d8_disagrees,flag_not_contained,flag_oversized,flag_river_capture,reach_name,alt_name,alt_da_km2,alt_dist_m
11,IWQIS:WQS0064,,,,S13336508-09577,Upper Iowa River at Dorchester (64UIRD),basin1,auto,False,1988.9470977950002,,1988.9470977950002,1988.9470977950002,2293.1578291236624,1988.9604,0.0,1,basin3,False,False,False,False,False,False,Upper Iowa River, ,1.9818,1439.8144766877415
12,MPCA:51026001,,,,S6581018-01614,"West Fork Des Moines River nr Avoca, CSAH6",basin1,auto,False,1233.3262268462522,,1233.3262268462522,1233.3262268462522,1263.8416311516944,1233.3285,0.0,1,basin3,False,False,False,False,False,False,Des Moines River, ,1.5066,574.4418406516
13,MPCA:25087001,,,,S937020644-02430,"Yellow Medicine River nr Hanley Falls, CR18",basin1,auto,False,1171.615349748214,,1171.615349748214,1171.615349748214,1206.6767865555164,1171.62,0.0,1,basin3,False,False,False,False,False,False,Yellow Medicine River, ,3.3471,1667.7824474000772
14,IWQIS:WQS0032,,,,S6621656-01163,Middle Raccoon River at Panora (32),basin1,auto,False,1117.1034915435048,,1117.1034915435048,1117.1034915435048,1095.4704940945192,1117.1169,0.0,1,basin3,False,False,False,False,False,False,Middle Raccoon River, ,4.9986,1571.3147137165952
15,IWQIS:WQS0039,,,,S6603048-04401,Boone River at Goldfield (39BRG),basin1,auto,False,1078.1437390136823,,1078.1437390136823,1078.1437390136823,1100.442066564559,1078.1388,0.0,1,basin3,False,False,False,False,False,False,Boone River, ,49.7133,1015.8094496186685
16,MPCA:48020005,,,,S7014505-00000,"Cedar River nr Austin, 540th Ave",basin1,auto,False,1033.1958774078266,,1033.1958774078266,1030.858966612238,1037.342686441985,1033.2,0.018930936979945915,2,"basin3,basin2",False,False,False,False,False,False, , ,0.0882,1117.8578205994927
17,MPCA:32079001,,,,S10595878-01914,"Le Sueur River at St. Clair, CSAH28",basin1,auto,False,919.13584658199,,919.13584658199,919.13584658199,1004.39329264489,919.125,0.0,1,basin3,False,False,False,False,False,False,Le Sueur River, ,6.8832,1582.3513928508323
18,MPCA:40016001,,,,S2119516-00979,"Whitewater River nr Beaver, CSAH30",basin1,auto,False,689.6340265319618,,689.6340265319618,689.6340265319618,703.5024927284563,689.6241,0.0,1,basin3,False,False,False,False,False,False,Whitewater River, ,1.9098,949.6014443100646
19,IWQIS:WQS0024,,,,S6572160-00229,South Fork Iowa River at New Providence (24SFINP),basin1,auto,False,582.6505569350705,,582.6505569350705,582.6505569350705,616.9368746067802,582.66,0.0,1,basin3,False,False,False,False,False,False,South Fork Iowa River, ,2.3562,601.2979031886127
20,MPCA:31021001,,,,S2423627-03696,"South Fork Watonwan River nr Madelia, CSAH13",basin1,auto,False,515.7534768722345,,515.7534768722345,515.7534768722345,537.7628229070409,515.7423,0.0,1,basin3,False,False,False,False,False,False,South Fork Watonwan River, ,3.0825,1624.3036734789205
21,IWQIS:WQS0035,,,,S22474813-02875,Miller Creek at La Porte City (35),basin1,auto,False,133.73283890532878,,133.73283890532878,133.73283890532878,142.37278470714284,133.7283,0.0,1,basin3,False,False,False,False,False,False,Miller Creek, ,1.359,1631.0142438979276
22,MPCA:48005001,,,,S7014389-00195,"Dobbins Creek at Austin, CR61",basin1,auto,False,97.32817161255308,,97.32817161255308,97.32817161255308,98.42587891599584,97.3224,0.0,1,basin3,False,False,False,False,False,False,Dobbins Creek,Wolf Creek,30.6936,1946.3854871110175
23,USGS:06603750,,,,S14621108-00987,"WB Little Sioux Riv abv Silver Lk at Lake Park, IA",basin0,auto,False,43.505149259145846,43.505149259145846,43.490513644396074,43.490513644396074,40.10726124099017,43.4781,0.0,2,"basin0,basin3",False,False,False,False,False,False, , ,1.6434,1377.447682970553
24,MPCA:30072001,,,,S2749200-03896,"Dutch Creek nr Fairmont, 100th St",basin1,auto,False,36.92832048797854,,36.92832048797854,36.92832048797854,28.95009152771997,36.927,0.0,1,basin3,False,False,False,False,False,False, , ,3.5208,485.5880287423186
