Row,source,snapshot_pair,diff_id,decision,decided_by,note,criterion_version,class
11,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2010Q3.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
12,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2010Q4.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
13,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2011Q1.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
14,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2011Q2.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
15,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2011Q3.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
16,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2011Q4.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
17,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2012Q1.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
18,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2012Q2.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
19,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2012Q3.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
20,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2012Q4.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
21,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2013Q1.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
22,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2013Q2.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
23,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2013Q3.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
24,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2013Q4.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
25,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2014Q1.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
26,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2014Q2.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
27,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2014Q3.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
28,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2014Q4.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
29,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2015Q1.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
30,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2015Q2.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
31,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2015Q3.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
32,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2015Q4.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
33,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2016Q1.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
34,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2016Q2.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
35,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2016Q3.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
36,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2016Q4.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
37,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2017Q1.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
38,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2017Q2.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
39,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2017Q3.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
40,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2017Q4.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
41,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2018Q1.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
42,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2018Q2.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
43,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2018Q3.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
44,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2018Q4.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
45,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2019Q1.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
46,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2019Q2.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
47,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2019Q3.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
48,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2019Q4.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
49,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2020Q1.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
50,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2020Q2.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
51,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2020Q3.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
52,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2020Q4.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
53,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2021Q1.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
54,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2021Q2.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
55,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2021Q3.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
56,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2021Q4.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
57,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2022Q1.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
58,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2022Q2.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
59,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2022Q3.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
60,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2022Q4.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
61,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2023Q1.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
62,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2023Q2.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
63,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2023Q3.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
64,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2023Q4.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
65,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2024Q1.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
66,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2024Q2.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
67,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2024Q3.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
68,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2024Q4.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
69,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2025Q1.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
70,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2025Q2.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
71,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2025Q3.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
72,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2025Q4.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
73,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2026Q1.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
74,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2026Q2.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
75,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2026Q3.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
,network,snap-20260825-adopt..snap-20260825,acquired/network/waterbodies.parquet.stamps.json,accept,isaac,,,removed
,water,snap-20260825-adopt..snap-20260825,acquired/water/fetch_status.parquet,accept,isaac,,,removed
,network,snap-20260825-adopt..snap-20260825,acquired/network/waterbodies.parquet,accept,isaac,,,schema_changed
,weather,snap-20260825-adopt..snap-20260825,acquired/weather/gridmet_2026Q3.parquet,accept,isaac,,,revised_out_of_window
