Row,uid_a,uid_b,decision,decided_by,note,criterion_version,name_a,name_b,type_a,type_b,cross_type,proposed,sep_m,min_sep_m,max_sep_m,hesitate,comid_a,comid_b,same_comid,on_channel,shared_days,r,median_diff,channels_a,channels_b,agree_a,agree_b,seam
11,USGS:05551000,USGS:05551001,merge,isaac,,prox100-v1,"FOX RIVER AT SOUTH ELGIN, IL","FOX RIVER AT SOUTH ELGIN, IL (TAILWATER)",stream,stream,False,complementary,0.0,0.0,0.0,False,14762931,14762931,True,,,,,discharge+gage_height,gage_height,True,True,
12,USGS:05551580,USGS:05551581,merge,isaac,,prox100-v1,"FOX RIVER AT YORKVILLE, IL","FOX RIVER TAILWATER AT YORKVILLE, IL",stream,stream,False,complementary,0.0,0.0,0.0,False,14763017,14763017,True,,,,,discharge+gage_height+spec_cond,gage_height,True,True,
13,USGS:05551580,USGS:05551582,merge,isaac,,prox100-v1,"FOX RIVER AT YORKVILLE, IL","FOX RIVER BYPASS AT YORKVILLE, IL",stream,stream,False,complementary,0.0,0.0,0.0,False,14763017,14763017,True,,,,,discharge+gage_height+spec_cond,gage_height,True,True,
14,USGS:05551581,USGS:05551582,merge,isaac,,prox100-v1,"FOX RIVER TAILWATER AT YORKVILLE, IL","FOX RIVER BYPASS AT YORKVILLE, IL",stream,stream,False,complementary,0.0,0.0,0.0,False,14763017,14763017,True,,,,,gage_height,gage_height,True,True,
15,USGS:07311782,USGS:07311783,merge,auto (merge rule 1),"upgrade: adjacent (max_sep < 10 m), same type, disjoint channels",prox100-v1,"S Wichita Rv at Low Flow Dam nr Guthrie, TX","S Wichita Rv bl Low Flow Dam nr Guthrie, TX",stream,stream,False,complementary,0.0,0.0,0.0,False,13520211,13520211,True,,,,,water_temp+spec_cond,discharge,True,True,
16,USGS:370033100534202,USGS:370033100534204,merge,isaac,,prox100-v1,LIBERAL-436,LIBERAL-160/CAL-112,well,well,False,complementary,0.0,0.0,0.0,False,13853131,13853131,True,,,,,water_temp,water_temp,False,False,
17,USGS:370130101180902,USGS:370130101180903,merge,isaac,,prox100-v1,HUGOTON-495,HUGOTON-313,well,well,False,complementary,0.0,0.0,0.0,False,13852231,13852231,True,,,,,water_temp,water_temp,False,False,
18,USGS:412354086421005,USGS:412354086421010,distinct,isaac,,prox100-v1,"KANKAKEE WELL FIELD SH-3 NEAR HANNA, IN","KANKAKEE WELL FIELD WT-1 NEAR HANNA, IN",well,well,False,complementary,0.0,0.0,0.0,False,13433691,13433691,True,,,,,nitrate+gw_level,water_temp+spec_cond+diss_oxy+ph,True,True,
19,USGS:412354086421006,USGS:412354086421010,distinct,isaac,,prox100-v1,"KANKAKEE WELL FIELD WT-3 NEAR HANNA, IN","KANKAKEE WELL FIELD WT-1 NEAR HANNA, IN",well,well,False,complementary,0.0,0.0,0.0,False,13433691,13433691,True,,,,,nitrate+gw_level,water_temp+spec_cond+diss_oxy+ph,True,True,
20,USGS:450814094315001,USGS:450814094315003,merge,isaac,,prox100-v1,LFO1-B    Litchfield Far Nest           0000773062,LFO1-D    Litchfield Far Nest           0000773059,well,well,False,complementary,0.0,0.0,0.0,False,4252894,4252894,True,,,,,water_temp,water_temp,True,True,
21,USGS:450814094315001,USGS:450814094315006,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,LFO1-B    Litchfield Far Nest           0000773062,LFO1-F    Litchfield Far Nest           0000773057,well,well,False,complementary,0.0,0.0,0.0,False,4252894,4252894,True,,,,,water_temp,water_temp,True,True,
22,USGS:450814094315003,USGS:450814094315006,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,LFO1-D    Litchfield Far Nest           0000773059,LFO1-F    Litchfield Far Nest           0000773057,well,well,False,complementary,0.0,0.0,0.0,False,4252894,4252894,True,,,,,water_temp,water_temp,True,True,
23,USGS:450832094321201,USGS:450832094321203,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,LFO2-A    Litchfield Near Nest          0000773056,LFO2-C    Litchfield Near Nest          0000773054,well,well,False,complementary,0.0,0.0,0.0,False,4252894,4252894,True,,,,,water_temp,water_temp,False,False,
24,USGS:450832094321201,USGS:450832094321204,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,LFO2-A    Litchfield Near Nest          0000773056,LFO2-D    Litchfield Near Nest          0000773053,well,well,False,complementary,0.0,0.0,0.0,False,4252894,4252894,True,,,,,water_temp,water_temp,False,False,
25,USGS:450832094321201,USGS:450832094321206,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,LFO2-A    Litchfield Near Nest          0000773056,LFO2-F    Litchfield Near Nest          0000773051,well,well,False,complementary,0.0,0.0,0.0,False,4252894,4252894,True,,,,,water_temp,water_temp,False,False,
26,USGS:450832094321203,USGS:450832094321204,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,LFO2-C    Litchfield Near Nest          0000773054,LFO2-D    Litchfield Near Nest          0000773053,well,well,False,complementary,0.0,0.0,0.0,False,4252894,4252894,True,,,,,water_temp,water_temp,False,False,
27,USGS:450832094321203,USGS:450832094321206,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,LFO2-C    Litchfield Near Nest          0000773054,LFO2-F    Litchfield Near Nest          0000773051,well,well,False,complementary,0.0,0.0,0.0,False,4252894,4252894,True,,,,,water_temp,water_temp,False,False,
28,USGS:450832094321204,USGS:450832094321206,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,LFO2-D    Litchfield Near Nest          0000773053,LFO2-F    Litchfield Near Nest          0000773051,well,well,False,complementary,0.0,0.0,0.0,False,4252894,4252894,True,,,,,water_temp,water_temp,False,False,
29,USGS:464110092531401,USGS:464110092531402,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,CWO1-A    Cromwell Far Nest             0000773071,CWO1-B    Cromwell Far Nest             0000773070,well,well,False,complementary,0.0,0.0,0.0,False,4839128,4839128,True,,,,,water_temp,water_temp,True,True,
30,USGS:464110092531401,USGS:464110092531403,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,CWO1-A    Cromwell Far Nest             0000773071,CWO1-C    Cromwell Far Nest             0000773069,well,well,False,complementary,0.0,0.0,0.0,False,4839128,4839128,True,,,,,water_temp,water_temp,True,True,
31,USGS:464110092531402,USGS:464110092531403,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,CWO1-B    Cromwell Far Nest             0000773070,CWO1-C    Cromwell Far Nest             0000773069,well,well,False,complementary,0.0,0.0,0.0,False,4839128,4839128,True,,,,,water_temp,water_temp,True,True,
32,USGS:464112092531401,USGS:464112092531404,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,CWO2-A    Cromwell Near Nest            0000773068,CWO2-D    Cromwell Near Nest            0000773065,well,well,False,complementary,0.0,0.0,0.0,False,4839128,4839128,True,,,,,water_temp,water_temp,True,True,
33,USGS:433243092260603,USGS:433243092260604,distinct,isaac,these are colocated and distinct,prox100-v1,STR2-3A   South Drained Site Transect 2,STR2-3B   South Drained Site Transect 2,well,well,False,complementary,0.31,0.31,0.31,False,13335680,13335680,True,,,,,water_temp,water_temp,True,True,
34,USGS:433531092265303,USGS:433531092265304,distinct,isaac,,prox100-v1,NTR3-3A   North Drained Site Transect 3,NTR3-3B   North Drained Site Transect 3,well,well,False,complementary,0.45,0.45,0.45,False,13335570,13335570,True,,,,,water_temp,water_temp,True,True,
35,USGS:433242092260901,USGS:433242092260902,distinct,isaac,,prox100-v1,SPR-1A    South Drained Site Perimeter,SPR-1B    South Drained Site Perimeter,well,well,False,complementary,0.95,0.95,0.95,False,13335680,13335680,True,,,,,water_temp,water_temp,True,True,
36,IWQIS:WQS0087,USGS:05465500,merge,isaac,,prox100-v1,Iowa River at Wapello (87IRW),"Iowa River at Wapello, IA",stream,stream,False,complementary,1.7,0.0,8.65,False,11919825,11919825,True,,,,,water_temp+turbidity_unknown,nitrate+discharge+gage_height+water_temp+turbidity_fnu,True,True,
37,USGS:433528092265104,USGS:433528092265106,distinct,isaac,,prox100-v1,NTR2-3B   North Drained Site Transect 2,NTR2-3D   North Drained Site Transect 2,well,well,False,complementary,2.22,2.22,2.22,False,13335570,13335570,True,,,,,water_temp,water_temp,True,True,
38,USGS:401934089541701,USGS:401934089541703,distinct,isaac,,prox100-v1,22N7W-29.1d1 (DP-1),22N7W-29.1d3 (DP-2),well,well,False,complementary,2.34,2.34,2.34,False,13606720,13606720,True,,,,,nitrate+gw_level,water_temp+spec_cond+turbidity_fnu+diss_oxy,True,True,
39,USGS:401934089541702,USGS:401934089541704,distinct,auto (merge rule 1),"upgrade: adjacent (max_sep < 10 m), same type, disjoint channels",prox100-v1,22N7W-29.1d2 (SH-1),22N7W-29.1d4 (SH-2),well,well,False,complementary,2.34,2.34,2.34,False,13606720,13606720,True,,,,,nitrate+gw_level,water_temp+spec_cond+turbidity_fnu+diss_oxy,True,True,
40,USGS:465652094394801,USGS:465652094394802,distinct,isaac,,prox100-v1,HT-115    UMN Hydrogeology Field Site   0000773075,HT-140    UMN Hydrogeology Field Site   0000773076,well,well,False,complementary,2.83,2.83,2.83,False,4823639,4823639,True,,,,,water_temp,water_temp,True,True,
41,USGS:465652094394801,USGS:465652094394804,distinct,isaac,,prox100-v1,HT-115    UMN Hydrogeology Field Site   0000773075,HT-200    UMN Hydrogeology Field Site   0000773078,well,well,False,complementary,2.89,2.89,2.89,False,4823639,4823639,True,,,,,water_temp,water_temp,True,True,
42,USGS:444630095002207,USGS:444630095002208,distinct,isaac,,prox100-v1,OT-145    Olivia Field Site             0000773081,OT-175    Olivia Field Site             0000773080,well,well,False,complementary,3.09,3.09,3.09,False,4123638,4123638,True,,,,,water_temp,water_temp,False,False,
43,USGS:444630095002208,USGS:444630095002209,distinct,isaac,,prox100-v1,OT-175    Olivia Field Site             0000773080,OB-7      Olivia Field Site             0000773079,well,well,False,complementary,3.1,3.1,3.1,False,4123638,4123638,True,,,,,water_temp,water_temp,False,False,
44,USGS:444630095002206,USGS:444630095002207,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,OT-105    Olivia Field Site             0000773082,OT-145    Olivia Field Site             0000773081,well,well,False,complementary,3.41,3.41,3.41,False,4123638,4123638,True,,,,,water_temp,water_temp,False,False,
45,USGS:433528092265102,USGS:433528092265106,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,NTR2-2    North Drained Site Transect 2,NTR2-3D   North Drained Site Transect 2,well,well,False,complementary,3.73,3.73,3.73,False,13335570,13335570,True,,,,,water_temp,water_temp,True,True,
46,USGS:401934089541701,USGS:401934089541704,merge,auto (merge rule 1),"upgrade: adjacent (max_sep < 10 m), same type, disjoint channels",prox100-v1,22N7W-29.1d1 (DP-1),22N7W-29.1d4 (SH-2),well,well,False,complementary,3.89,3.89,3.89,False,13606720,13606720,True,,,,,nitrate+gw_level,water_temp+spec_cond+turbidity_fnu+diss_oxy,True,True,
47,USGS:401934089541702,USGS:401934089541703,distinct,auto (merge rule 1),"upgrade: adjacent (max_sep < 10 m), same type, disjoint channels",prox100-v1,22N7W-29.1d2 (SH-1),22N7W-29.1d3 (DP-2),well,well,False,complementary,3.89,3.89,3.89,False,13606720,13606720,True,,,,,nitrate+gw_level,water_temp+spec_cond+turbidity_fnu+diss_oxy,True,True,
48,USGS:450543093105301,USGS:450543093105306,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,OW111U1R  TCAAP Site 01U611R           0000773089,GS1-MW4   TCAAP Site K,well,well,False,complementary,3.98,3.98,3.98,False,937010716,937010716,True,,,,,water_temp,water_temp,False,False,
49,USGS:450542093105809,USGS:450542093105813,distinct,isaac,,prox100-v1,GS3-MW4   TCAAP Site K,GS3-MW8   TCAAP Site K,well,well,False,complementary,4.37,4.37,4.37,False,937010716,937010716,True,,,,,water_temp+spec_cond,water_temp,False,False,
50,USGS:433528092265101,USGS:433528092265102,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,NTR2-1    North Drained Site Transect 1,NTR2-2    North Drained Site Transect 2,well,well,False,complementary,4.66,4.66,4.66,False,13335570,13335570,True,,,,,water_temp,water_temp,True,True,
51,USGS:465652094394802,USGS:465652094394804,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,HT-140    UMN Hydrogeology Field Site   0000773076,HT-200    UMN Hydrogeology Field Site   0000773078,well,well,False,complementary,4.95,4.95,4.95,False,4823639,4823639,True,,,,,water_temp,water_temp,True,True,
52,USGS:433247092260701,USGS:433247092260702,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,STR1-1    South Drained Site Transect 1,STR1-2    South Drained Site Transect 1,well,well,False,complementary,4.96,4.96,4.96,False,13335680,13335680,True,,,,,water_temp,water_temp,True,True,
53,USGS:433528092265107,USGS:433528092265108,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,NTR2-4    North Drained Site Transect 2,NTR2-5    North Drained Site Transect 2,well,well,False,complementary,4.97,4.97,4.97,False,13335570,13335570,True,,,,,water_temp,water_temp,True,True,
54,USGS:433247092260705,USGS:433247092260706,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,STR1-4    South Drained Site Transect 1,STR1-5    South Drained Site Transect 1,well,well,False,complementary,5.14,5.14,5.14,False,13335680,13335680,True,,,,,water_temp,water_temp,True,True,
55,USGS:433243092260605,USGS:433243092260606,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,STR2-4    South Drained Site Transect 2,STR2-5    South Drained Site Transect 2,well,well,False,complementary,5.15,5.15,5.15,False,13335680,13335680,True,,,,,water_temp,water_temp,True,True,
56,USGS:450542093105506,USGS:450542093105508,distinct,auto (merge rule 2),"redundant twin: shared channels, overlapping spans, differing series",prox100-v1,GS2-MW4   TCAAP Site K,GS2-MW8   TCAAP Site K,well,well,False,complementary,5.32,5.32,5.32,False,937010716,937010716,True,,,,,water_temp+spec_cond,water_temp,False,False,
57,USGS:433243092260601,USGS:433243092260602,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,STR2-1    South Drained Site Transect 2,STR2-2    South Drained Site Transect 2,well,well,False,complementary,5.36,5.36,5.36,False,13335680,13335680,True,,,,,water_temp,water_temp,True,True,
58,USGS:450543093105306,USGS:450543093105407,distinct,auto (merge rule 2),"redundant twin: shared channels, overlapping spans, differing series",prox100-v1,GS1-MW4   TCAAP Site K,GS1-MW8   TCAAP Site K,well,well,False,complementary,5.39,5.39,5.39,False,937010716,937010716,True,,,,,water_temp,water_temp+spec_cond,False,False,
59,USGS:433528092265104,USGS:433528092265107,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,NTR2-3B   North Drained Site Transect 2,NTR2-4    North Drained Site Transect 2,well,well,False,complementary,5.58,5.58,5.58,False,13335570,13335570,True,,,,,water_temp,water_temp,True,True,
60,USGS:433245092254904,USGS:433245092254905,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,SUTR1-4   South Undrained Site Transect 1,SUTR1-5   South Undrained Site Transect1,well,well,False,complementary,5.6,5.6,5.6,False,13335680,13335680,True,,,,,water_temp,water_temp,True,True,
61,USGS:433527092265501,USGS:433527092265502,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,NTR1-1    North Drained Site Transect 1,NTR1-2    North Drained Site Transect 1,well,well,False,complementary,5.6,5.6,5.6,False,13335570,13335570,True,,,,,water_temp,water_temp,True,True,
62,USGS:03063000,USGS:394337079544201,merge,auto (merge rule 1),"upgrade: adjacent (max_sep < 10 m), same type, disjoint channels",prox100-v1,"Monongahela R L&D8 (Lower Pool) @ Point Marion, PA","Monongahela R at Lock & Dam 8, at Point Marion, PA",stream,stream,False,complementary,5.75,5.75,5.75,False,3768822,3768822,True,,,,,gage_height,water_temp+spec_cond+ph,True,True,
63,USGS:433527092265504,USGS:433527092265505,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,NTR1-4    North Drained Site Transect 1,NTR1-5    North Drained Site Transect 1,well,well,False,complementary,5.89,5.89,5.89,False,13335570,13335570,True,,,,,water_temp,water_temp,True,True,
64,USGS:433527092265502,USGS:433527092265503,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,NTR1-2    North Drained Site Transect 1,NTR1-3    North Drained Site Transect 1,well,well,False,complementary,5.91,5.91,5.91,False,13335570,13335570,True,,,,,water_temp,water_temp,True,True,
65,USGS:433527092265503,USGS:433527092265504,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,NTR1-3    North Drained Site Transect 1,NTR1-4    North Drained Site Transect 1,well,well,False,complementary,5.91,5.91,5.91,False,13335570,13335570,True,,,,,water_temp,water_temp,True,True,
66,USGS:433528092265102,USGS:433528092265104,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,NTR2-2    North Drained Site Transect 2,NTR2-3B   North Drained Site Transect 2,well,well,False,complementary,5.93,5.93,5.93,False,13335570,13335570,True,,,,,water_temp,water_temp,True,True,
67,USGS:433243092260602,USGS:433243092260603,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,STR2-2    South Drained Site Transect 2,STR2-3A   South Drained Site Transect 2,well,well,False,complementary,6.03,6.03,6.03,False,13335680,13335680,True,,,,,water_temp,water_temp,True,True,
68,USGS:433243092260602,USGS:433243092260604,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,STR2-2    South Drained Site Transect 2,STR2-3B   South Drained Site Transect 2,well,well,False,complementary,6.04,6.04,6.04,False,13335680,13335680,True,,,,,water_temp,water_temp,True,True,
69,USGS:444630095002207,USGS:444630095002209,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,OT-145    Olivia Field Site             0000773081,OB-7      Olivia Field Site             0000773079,well,well,False,complementary,6.19,6.19,6.19,False,4123638,4123638,True,,,,,water_temp,water_temp,False,False,
70,USGS:433243092260603,USGS:433243092260605,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,STR2-3A   South Drained Site Transect 2,STR2-4    South Drained Site Transect 2,well,well,False,complementary,6.26,6.26,6.26,False,13335680,13335680,True,,,,,water_temp,water_temp,True,True,
71,USGS:433243092260604,USGS:433243092260605,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,STR2-3B   South Drained Site Transect 2,STR2-4    South Drained Site Transect 2,well,well,False,complementary,6.26,6.26,6.26,False,13335680,13335680,True,,,,,water_temp,water_temp,True,True,
72,USGS:444630095002206,USGS:444630095002208,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,OT-105    Olivia Field Site             0000773082,OT-175    Olivia Field Site             0000773080,well,well,False,complementary,6.5,6.5,6.5,False,4123638,4123638,True,,,,,water_temp,water_temp,False,False,
73,USGS:433528092265106,USGS:433528092265107,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,NTR2-3D   North Drained Site Transect 2,NTR2-4    North Drained Site Transect 2,well,well,False,complementary,7.76,7.76,7.76,False,13335570,13335570,True,,,,,water_temp,water_temp,True,True,
74,IWQIS:WQS0096,USGS:05485605,merge,isaac,,prox100-v1,Fourmile Creek at Ankeny (96FCA),"Fourmile Creek near Ankeny, IA DS1",stream,stream,False,complementary,8.24,3.09,14.83,False,22248777,22248777,True,,,,,water_temp+turbidity_unknown,discharge,True,True,
75,IWQIS:WQP0014,IWQIS:WQP0015,distinct,auto (merge rule 2),"redundant twin: shared channels, overlapping spans, differing series",prox100-v1,In-Field Research Project at Walcott (WQP 14),In-Field Research Project at Walcott (WQP 15),field,field,False,complementary,8.27,0.0,20.23,False,14796931,14796931,True,,,,,nitrate+water_temp+turbidity_unknown,water_temp+turbidity_unknown,True,True,
76,USGS:433528092265101,USGS:433528092265106,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,NTR2-1    North Drained Site Transect 1,NTR2-3D   North Drained Site Transect 2,well,well,False,complementary,8.38,8.38,8.38,False,13335570,13335570,True,,,,,water_temp,water_temp,True,True,
77,USGS:450543093105301,USGS:450543093105407,distinct,auto (merge rule 2),"redundant twin: shared channels, overlapping spans, differing series",prox100-v1,OW111U1R  TCAAP Site 01U611R           0000773089,GS1-MW8   TCAAP Site K,well,well,False,complementary,9.36,9.36,9.36,False,937010716,937010716,True,,,,,water_temp,water_temp+spec_cond,False,False,
78,USGS:444630095002203,USGS:444630095002209,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,OT-20     Olivia Field Site             0000773085,OB-7      Olivia Field Site             0000773079,well,well,False,complementary,9.5,9.5,9.5,False,4123638,4123638,True,,,,,water_temp,water_temp,False,False,
79,USGS:444630095002206,USGS:444630095002209,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,OT-105    Olivia Field Site             0000773082,OB-7      Olivia Field Site             0000773079,well,well,False,complementary,9.6,9.6,9.6,False,4123638,4123638,True,,,,,water_temp,water_temp,False,False,
80,USGS:450543093105407,USGS:450543093105501,distinct,auto (merge rule 2),"redundant twin: shared channels, overlapping spans, differing series",prox100-v1,GS1-MW8   TCAAP Site K,OW109U1R  TCAAP Site 01U609R           0000773090,well,well,False,complementary,9.79,9.79,9.79,False,937010716,937010716,True,,,,,water_temp+spec_cond,water_temp,False,False,
81,USGS:433528092265104,USGS:433528092265108,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,NTR2-3B   North Drained Site Transect 2,NTR2-5    North Drained Site Transect 2,well,well,False,complementary,10.54,10.54,10.54,False,13335570,13335570,True,,,,,water_temp,water_temp,True,True,
82,USGS:433528092265101,USGS:433528092265104,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,NTR2-1    North Drained Site Transect 1,NTR2-3B   North Drained Site Transect 2,well,well,False,complementary,10.58,10.58,10.58,False,13335570,13335570,True,,,,,water_temp,water_temp,True,True,
83,USGS:433531092265301,USGS:433531092265303,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,NTR3-1    North Drained Site Transect 3,NTR3-3A   North Drained Site Transect 3,well,well,False,complementary,10.85,10.85,10.85,False,13335570,13335570,True,,,,,water_temp,water_temp,True,True,
84,USGS:433531092265301,USGS:433531092265304,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,NTR3-1    North Drained Site Transect 3,NTR3-3B   North Drained Site Transect 3,well,well,False,complementary,10.86,10.86,10.86,False,13335570,13335570,True,,,,,water_temp,water_temp,True,True,
85,USGS:433243092260601,USGS:433243092260603,distinct,auto (merge rule 2),"redundant twin: identical channels, overlapping spans, differing series",prox100-v1,STR2-1    South Drained Site Transect 2,STR2-3A   South Drained Site Transect 2,well,well,False,complementary,11.4,11.4,11.4,False,13335680,13335680,True,,,,,water_temp,water_temp,True,True,
